airport_ident,type,name,iso_country,iso_region,municipality
01GE,small_airport,The Farm Airport,US,US-GA,Wrightsville
01IA,small_airport,Stender Airport,US,US-IA,Maysville
01ID,small_airport,Lava Hot Springs Airport,US,US-ID,Lava Hot Springs
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,US,US-IL,Hoopeston
01IN,heliport,Community Hospital Heliport,US,US-IN,Anderson
01IS,small_airport,William E. Koenig Airport,US,US-IL,Dow
01J,small_airport,Hilliard Airpark,US,US-FL,Hilliard
01K,small_airport,Caldwell Municipal Airport,US,US-KS,Caldwell
01KS,small_airport,Flying N Ranch Airport,US,US-KS,Lost Springs
01KY,heliport,Lourdes Hospital Heliport,US,US-KY,Paducah
01LA,small_airport,Barham Airport,US,US-LA,Oak Ridge
01LL,small_airport,Schumaier Restricted Landing Area,US,US-IL,Pinckneyville
01LS,small_airport,Country Breeze Airport,US,US-LA,Slaughter
01MA,heliport,Compaq Andover Heliport,US,US-MA,Andover
01MD,seaplane_base,Annapolis Seaplane Base,US,US-MD,Annapolis
01ME,seaplane_base,Saint Peter's Seaplane Base,US,US-ME,Portage Lake
01MI,heliport,Flow Through Terminal Heliport,US,US-MI,Flint
01MN,seaplane_base,Barnes Seaplane Base,US,US-MN,Cook
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,US,US-MO,Town and Country
01MT,small_airport,Crystal Lakes Resort Airport,US,US-MT,Fortine
01MU,heliport,NWMC - Houghton Heliport,US,US-AZ,Tucson
01NC,small_airport,Topsail Airpark,US,US-NC,Holly Ridge
01NE,closed,Detour Airport,US,US-NE,Wellfleet
01NH,small_airport,Moore Airfield,US,US-NH,Canaan
01NJ,heliport,Albert Guido Memorial Heliport,US,US-NJ,Newark
01NM,small_airport,Champion Ranch Airport,US,US-NM,Lake Arthur
01NR,heliport,McGee 01 Heliport,US,US-NC,Wilmington
01NV,small_airport,Lantana Ranch Airport,US,US-NV,Yerington
01NY,heliport,Vassar Hospital Heliport,US,US-NY,Poughkeepsie
01OH,heliport,Atrium Medical Center Heliport,US,US-OH,Middletown
01OI,heliport,Avita Health System Galion Hospital Heliport,US,US-OH,Galion
01OK,closed,Lawrence Airport,US,US-OK,Eakly
01OL,small_airport,Spring Creek Ranch East Airport,US,US-OK,Tishomingo
01OR,closed,Red & White Flying Service Airport,US,US-OR,Silver Lake
01PA,closed,Pine Heliport,US,US-PA,Mars
01PN,small_airport,Bierly(Personal Use) Airport,US,US-PA,Bellefonte
01PS,small_airport,Nort's Resort Airport,US,US-PA,Meshoppen
01SC,small_airport,York Airport,US,US-SC,York
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,US,US-TX,Arlington
01TE,small_airport,Smith Field,US,US-TX,Forney
01TN,small_airport,Colonial Air Park,US,US-TN,Collierville
01TX,closed,Mims Farm Ultralightport,US,US-TX,Waxahachie
01U,small_airport,Duckwater Airport,US,US-NV,Duckwater
01UT,small_airport,La Sal Junction Airport,US,US-UT,La Sal
01VA,small_airport,Pickles Airport,US,US-VA,Berryville
01WA,heliport,Willapa Harbor Heliport,US,US-WA,South Bend
01WI,small_airport,Prehn Cranberry Company Airport,US,US-WI,Tomah
01WN,heliport,Whidbey General Hospital Heliport,US,US-WA,Coupeville
01WT,heliport,Odyssey Heliport,US,US-WA,Renton
01WY,small_airport,Keyhole Airport,US,US-WY,Pine Haven
01XA,heliport,Ascension Seton Hays Heliport,US,US-TX,Kyle
01XS,heliport,Meadowood Ranch Heliport,US,US-TX,Athens
02AK,small_airport,Rustic Wilderness Airport,US,US-AK,Willow
02AL,small_airport,Bass Field,US,US-AL,Foley
02AR,closed,Three Rivers Airport,US,US-AR,Little Rock
02AZ,closed,Winchester Farm Airstrip,US,US-AZ,Willcox
02CA,heliport,Swepi Beta Platform Ellen Heliport,US,US-CA,Huntington Beach
02CD,small_airport,Shannon Field,US,US-MS,Clarksdale
02CL,small_airport,Conover Air Lodge Airport,US,US-CA,Frazier Park
02CO,small_airport,Mc Cullough Airport,US,US-CO,Monte Vista
02CT,heliport,Strangers Point Heliport,US,US-CT,Ellington
02FA,small_airport,Osborn Airfield,US,US-FL,Groveland
02FD,small_airport,Triple R Ranch Airport,US,US-FL,Baker
02FL,closed,Cuchens Airport,US,US-FL,Defuniak Springs
02GA,small_airport,Doug Bolton Field,US,US-GA,Commerce
02GE,small_airport,Etowah Fields Airport,US,US-GA,Euharlee
02HI,heliport,K3 Helipad Heliport,US,US-HI,Honolulu
02IA,heliport,Boone County Hospital Heliport,US,US-IA,Boone
02ID,small_airport,Morgan Ranch Airport,US,US-ID,Cascade
02II,small_airport,King Ultralightport,US,US-IN,Westfield
02IN,small_airport,Diamond P. Field,US,US-IN,Muncie
02IS,heliport,Condell Medical Center Heliport,US,US-IL,Libertyville
02KS,small_airport,Jmj Landing Airport,US,US-KS,St Marys
02KY,heliport,Boone National Guard Heliport,US,US-KY,Frankfort
02LA,heliport,Louisiana State Police Troop G Heliport,US,US-LA,Bossier City
02LS,heliport,Windy Hill Heliport,US,US-LA,Broussard
02MA,heliport,Cuttyhunk Heliport,US,US-MA,Cuttyhunk
02MD,small_airport,Garner Field,US,US-MD,Brandywine
02ME,small_airport,Nadeau's Airfield,US,US-ME,Acton
02MI,small_airport,Fairplains Airpark,US,US-MI,Greenville
02MN,closed,Greenbush Municipal Airport,US,US-MN,Greenbush
02MO,small_airport,Troy Airpark,US,US-MO,Troy
02MS,small_airport,Watts Field,US,US-MS,Rochdale
02MU,closed,Timber Line Airpark,US,US-MO,Cassville
02NC,closed,Race City Heliport,US,US-NC,Landis
02NH,seaplane_base,Iroquois Landing Seaplane Base,US,US-NH,Dummer
02NR,heliport,McGee 02 Heliport,US,US-NC,Greenville
02NV,small_airport,Paiute Meadows Airport,US,US-NV,Winnemucca
02NY,heliport,Hansen Heliport,US,US-NY,Durhamville
02OH,small_airport,Zimmerman Airport,US,US-OH,Fremont
02OI,small_airport,Murtha Airport,US,US-OH,Conneaut
02OR,small_airport,Rowena Dell Airport,US,US-OR,The Dalles
02P,heliport,Stottle Memorial Heliport,US,US-PA,Honey Grove
02PA,heliport,Lag III Heliport,US,US-PA,Monroeville
02PN,heliport,Peco Berwyn Heliport,US,US-PA,Berwyn
02PR,small_airport,Cuylers Airport,PR,PR-U-A,Vega Baja
02PS,small_airport,Hughes Ultralightport,US,US-PA,Tioga
02SC,small_airport,Harpers Airport,US,US-SC,Estill
02T,small_airport,Wise River Airport,US,US-MT,Wise River
02TA,heliport,Matagorda Shore Facility Heliport,US,US-TX,Matagorda
02TE,heliport,Baylor Medical Center Heliport,US,US-TX,Waxahachie
02TN,small_airport,Ellis Field,US,US-TN,Rockvale
02TX,closed,The Palms At Kitty Hawk Airport,US,US-TX,New Home
02UT,small_airport,Lucin Airport,US,US-UT,Lucin
02VA,small_airport,The Greenhouse Airport,US,US-VA,Culpeper
02WA,small_airport,Cawleys South Prairie Airport,US,US-WA,South Prairie
02WI,small_airport,Beer Airport,US,US-WI,Hudson
02WN,small_airport,Fowler Field,US,US-WA,Tonasket
02XA,small_airport,JLS Farms Airport,US,US-TX,Honey Grove
02XS,closed,Seidel Ranch Airport,US,US-TX,Austin
03AK,seaplane_base,Joe Clouds Seaplane Base,US,US-AK,Kenai
03AL,heliport,Highland Medical Center Heliport,US,US-AL,Scottsboro
03AR,heliport,Hscmh Heliport,US,US-AR,Malvern
03AZ,small_airport,Thompson International Aviation Airport,US,US-AZ,Hereford
03CA,heliport,Grossmont Hospital Heliport,US,US-CA,La Mesa
03CO,small_airport,Kugel-Strong Airport,US,US-CO,Platteville
03FA,small_airport,Lake Persimmon Airstrip,US,US-FL,Lake Placid
03FD,closed,Tharpe Airport,US,US-FL,Bonifay
03FL,heliport,Ranger Heliport,US,US-FL,West Palm Beach
03GA,small_airport,HIA Airport,US,US-GA,Statesboro
03I,closed,Clarks Dream Strip,US,US-OH,Circleville
03IA,closed,East Field,US,US-IA,Montezuma
03ID,small_airport,Flying Y Ranch Airport,US,US-ID,Council
03II,small_airport,Davis Field Ultralightport,US,US-IN,Mount Vernon
03IL,small_airport,Wix Airport,US,US-IL,Monee
03IS,heliport,OSF St Anthony's Health Center Heliport,US,US-IL,Alton
03KS,heliport,Valley Grain Heliport,US,US-KS,Highland
03KY,small_airport,Flying H Farms Airport,US,US-KY,Henderson
03LA,heliport,Damien Heliport,US,US-LA,Carville
03LS,heliport,Fmc Nr 1 Heliport,US,US-LA,Winnsboro
03M,seaplane_base,Lakeside Marina Seaplane Base,US,US-ME,East Winthrop
03MA,small_airport,Hadley Airport,US,US-MA,Hadley
03MD,heliport,Upper Chesapeake Medical Center Heliport,US,US-MD,Bel Air
03ME,small_airport,Maple Ridge Airport,US,US-ME,Harrison
03MI,heliport,Harold Miller Heliport,US,US-MI,Bay City
03MN,small_airport,Nauerth Land Ranch Airport,US,US-MN,Lakefield
03MO,closed,Cahoochie Airport,US,US-MO,Urbana
