airport_ident,elevation_ft,runway_length_ft,runway_width_ft,frequency_mhz,runway_lighted,runway_closed
05FL,36,3200,60,,0,0
05GA,625,2200,60,,0,0
05IA,1155,2450,65,,0,0
05ID,2969,2000,70,,0,0
05II,795,1800,100,,0,0
05IL,635,3200,70,,0,0
05IN,860,2000,100,,0,0
05IS,605,2000,100,,0,0
05KS,945,2350,50,,0,0
05KT,880,600,50,,0,0
05KY,1070,1270,150,,0,0
05LA,76,2200,70,,0,0
05LL,710,120,120,,0,0
05LS,83,2300,100,,0,0
05MA,80,100,40,,0,0
05MD,20,2700,80,,0,0
05ME,70,900,40,,0,0
05MO,272,30,30,,0,0
05MS,359,40,40,,1,0
05NC,63,40,40,,1,0
05NE,2010,3210,80,,0,0
05NH,200,100,100,,0,0
05NJ,7,60,60,,1,0
05NY,445,75,75,,0,0
05OG,415,50,50,,1,0
05OI,830,2000,100,,0,0
05OK,1075,2200,90,,0,0
05OR,3500,2600,50,,0,0
05PA,110,70,70,,0,0
05PN,485,120,120,,0,0
05PS,1210,2319,100,,0,0
05S,647,2940,45,,0,0
05TA,276,1700,40,,0,0
05TE,950,1500,50,,0,0
05TS,750,1700,90,,0,0
05TX,608,2075,50,,0,0
05V,7720,6160,52,,0,0
05VA,445,2000,40,,0,0
05VT,68,80,80,,0,0
05WA,2220,40,40,,0,0
05WI,958,1800,60,,0,0
05WN,1570,1700,50,,0,0
05XS,105,2600,100,,0,0
05Y,1455,3280,200,,1,0
06AK,425,2000,40,,0,0
06AL,415,1600,75,,0,0
06AR,499,2900,125,,1,0
06AZ,1280,80,80,,1,0
06B,115,15000,4000,,0,0
06CA,1942,20,20,,0,0
06CL,520,46,46,,1,0
06CO,5100,4500,75,,0,0
06FD,105,3400,120,,0,0
06FL,3,200,100,,0,0
06GA,1065,300,300,,0,0
06I,536,16000,3500,,0,0
06IA,880,1750,100,,0,0
06ID,2750,2200,80,,0,0
06IL,708,2580,70,,0,0
06IS,695,2600,70,,0,0
06KS,1332,25,25,,0,0
06KY,751,60,60,,0,0
06LA,,39,39,,0,0
06LL,812,40,40,,0,0
06LS,85,40,40,,0,0
06MA,210,15,15,,0,0
06MD,132,60,60,,1,0
06MI,978,45,45,,0,0
06MT,3541,2200,60,,0,0
06N,523,2811,60,,1,0
06NC,163,2600,90,,0,0
06ND,2180,2800,50,,0,0
06NE,1015,130,95,,0,0
06NH,160,1900,150,,0,0
06NY,1100,2000,75,,0,0
06O1,1020,40,40,,0,0
06OH,1160,2400,100,,0,0
06OI,915,2256,45,,0,0
06OK,900,300,100,,0,0
06OR,850,1000,80,,0,0
06PA,1440,2965,100,,0,0
06PN,727,15,15,,0,0
06R,289,2480,30,,1,0
06SN,1340,2400,75,,0,0
06TA,480,1900,15,,0,0
06TE,129,3500,50,,0,0
06TN,640,2000,50,,0,0
06TT,2165,3129,75,,0,0
06TX,215,1680,60,,0,0
06VA,1160,2000,100,,0,0
06WA,2013,60,40,,0,0
06WN,394,2845,30,,1,0
06XS,546,1750,100,,0,0
06Y,1068,2997,60,,1,0
07AL,132,6000,1200,,0,0
07AR,300,3000,60,,0,0
07B,360,3186,100,,0,0
07CA,850,40,40,,0,0
